PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Spencer Dinwiddie,Nets,"PG, SG",2884 ,2.1 ,-1.3 ,0.8 ,-0.3 ,-0.1 ,-0.4 ,1.7 ,-1.1 ,0.6 ,4.9 
De'Anthony Melton,76ers,PG,2424 ,0.2 ,1.7 ,1.9 ,-1.4 ,-0.3 ,-1.7 ,-0.1 ,1.3 ,1.2 ,4.9 
Jaylen Brown,Celtics,"SG, SF",3156 ,0.6 ,0.2 ,0.8 ,-2.3 ,0.6 ,-1.6 ,-0.1 ,0.3 ,0.2 ,4.8 
Kyle Lowry,Heat,PG,2317 ,1.0 ,0.4 ,1.4 ,0.8 ,0.0 ,0.8 ,1.0 ,0.3 ,1.3 ,4.8 
Caleb Martin,Heat,"SF, PF",2771 ,-1.4 ,1.2 ,-0.2 ,1.2 ,2.1 ,3.3 ,-1.0 ,1.5 ,0.5 ,4.7 
Scottie Barnes,Raptors,"SF, PF",2678 ,-0.4 ,0.4 ,0.0 ,2.4 ,0.8 ,3.3 ,0.1 ,0.5 ,0.6 ,4.6 
Tre Jones,Spurs,PG,1984 ,1.0 ,1.2 ,2.2 ,1.1 ,-2.0 ,-1.0 ,1.2 ,0.7 ,1.8 ,4.6 
Bogdan Bogdanovic,Hawks,"SG, SF",1665 ,2.7 ,-0.3 ,2.5 ,3.9 ,-1.9 ,2.0 ,3.1 ,-0.6 ,2.5 ,4.5 
Malcolm Brogdon,Celtics,"PG, SG",2218 ,2.6 ,-1.2 ,1.4 ,-0.6 ,1.5 ,0.9 ,2.0 ,-0.8 ,1.2 ,4.5 
Isaiah Hartenstein,Knicks,C,1846 ,-1.1 ,3.0 ,1.9 ,-0.2 ,2.2 ,2.0 ,-1.1 ,3.0 ,2.0 ,4.5 
Cameron Johnson,Nets,"SF, PF",1351 ,1.2 ,2.5 ,3.7 ,0.4 ,2.4 ,2.8 ,1.2 ,2.6 ,3.8 ,4.5 
Pascal Siakam,Raptors,"PF, C",2652 ,2.1 ,-1.7 ,0.4 ,2.2 ,-0.9 ,1.3 ,2.3 ,-1.7 ,0.6 ,4.5 
Delon Wright,Wizards,PG,1221 ,0.9 ,3.7 ,4.6 ,1.2 ,1.7 ,2.9 ,1.0 ,3.5 ,4.5 ,4.5 
Kyle Anderson,Timberwolves,"SF, PF",2061 ,-0.1 ,1.3 ,1.2 ,1.5 ,0.4 ,2.0 ,0.3 ,1.1 ,1.4 ,4.4 
Josh Okogie,Suns,SG,1525 ,-0.2 ,3.2 ,3.0 ,-0.9 ,2.1 ,1.2 ,-0.4 ,3.1 ,2.8 ,4.3 
Anfernee Simons,Trail Blazers,"PG, SG",2171 ,2.0 ,-1.2 ,0.8 ,0.2 ,1.3 ,1.5 ,1.8 ,-0.7 ,1.1 ,4.2 
Isaiah Joe,Thunder,"PG, SG",1395 ,2.5 ,0.4 ,2.9 ,2.9 ,-0.2 ,2.7 ,2.7 ,0.3 ,3.0 ,4.1 
Evan Mobley,Cavaliers,"PF, C",2903 ,-2.2 ,1.8 ,-0.4 ,1.2 ,0.9 ,2.2 ,-1.6 ,1.6 ,0.0 ,4.1 
Kevin Porter Jr.,Rockets,"PG, SG",2024 ,2.0 ,-0.6 ,1.4 ,0.2 ,-0.6 ,-0.4 ,1.8 ,-0.5 ,1.3 ,4.1 
D'Angelo Russell,Lakers,"PG, SG",2777 ,2.4 ,-1.7 ,0.7 ,0.2 ,-2.4 ,-2.3 ,2.1 ,-1.9 ,0.1 ,4.1 
John Konchar,Grizzlies,SG,1543 ,-1.3 ,3.3 ,2.0 ,0.7 ,2.8 ,3.5 ,-0.9 ,3.3 ,2.4 ,4.0 
T.J. McConnell,Pacers,PG,1526 ,1.1 ,1.7 ,2.8 ,-2.8 ,1.8 ,-1.0 ,0.4 ,1.9 ,2.2 ,3.9 
Tobias Harris,76ers,"SF, PF",2828 ,-0.1 ,-0.7 ,-0.9 ,2.0 ,1.4 ,3.4 ,0.3 ,-0.4 ,-0.1 ,3.8 
Jaden McDaniels,Timberwolves,PF,2416 ,-1.6 ,1.3 ,-0.4 ,2.1 ,0.9 ,3.0 ,-1.0 ,1.3 ,0.3 ,3.8 
CJ McCollum,Pelicans,"PG, SG",2649 ,0.8 ,-0.7 ,0.1 ,2.9 ,-3.7 ,-0.7 ,1.3 ,-1.4 ,-0.1 ,3.6 
Mason Plumlee,Clippers,C,2145 ,1.0 ,0.0 ,1.0 ,1.8 ,-3.6 ,-1.8 ,1.3 ,-0.8 ,0.5 ,3.6 
Jalen Suggs,Magic,"PG, SG",1246 ,0.0 ,3.6 ,3.6 ,-1.7 ,0.6 ,-1.1 ,-0.3 ,3.2 ,2.9 ,3.6 
